ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07130;2023-11-01T10:00:00+01:00;99890;100.0;3;190;5.0;284.25;283.15;93;10360.0;63;;;100.0;2;450.0;;;;99450.0;;;-770.0;;;;;284.55;;;10.1;10.1;-10.0;2;0.0;;;-0.1;2.9;6.7;6.7;8.5;;;;;1.0;;360.0;8.0;;1800.0;;9;;;;;48.068833, -1.734;RENNES-ST JACQUES;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;Pluie, sans congélation, continue, modérée au moment de l’observation;11.100000000000023;;;;;11.400000000000034;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-26T04:00:00+01:00;102150;-70.0;8;130;1.1;272.95;272.35;96;2700.0;10;;;;0;;;;;101680.0;;;-220.0;;;;;277.95;;;1.7;1.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;;;;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;Brume;-0.19999999999998863;;;;;4.800000000000011;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-16T22:00:00+01:00;102200;240.0;1;260;2.4;283.35;280.55;83;42410.0;0;;;100.0;8;1250.0;;;;101750.0;;;170.0;;;;;284.65;;;3.6;7.1;-10.0;0;0.0;;;0.0;0.0;-0.1;-0.1;6.1;;;;;8.0;;1110.0;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;10.200000000000045;;;;;11.5;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-23T01:00:00+01:00;103220;-120.0;8;290;2.0;281.75;280.55;92;17770.0;0;;;100.0;8;250.0;;;;102760.0;;;330.0;;;;;281.65;;;2.9;3.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;240.0;8.0;;390.0;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;8.600000000000023;;;;;8.5;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-13T01:00:00+01:00;100920;-110.0;6;220;5.8;288.15;286.65;91;10740.0;0;;;100.0;8;450.0;;;;100480.0;;;930.0;;;;;285.35;;;9.6;9.6;-10.0;2;0.0;;;0.0;-0.1;0.4;0.4;0.6;;;;;8.0;;390.0;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.0;;;;;12.200000000000045;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-27T19:00:00+01:00;100360;110.0;1;280;4.9;283.55;281.35;86;28850.0;0;;;100.0;8;450.0;;;;99920.0;;;-1300.0;281.75;;285.95;;281.95;;;7.2;8.8;-10.0;1;0.0;;;0.0;0.0;0.2;3.6;4.6;;;;;7.0;;570.0;7.0;;900.0;8.0;;1170.0;;;;48.068833, -1.734;RENNES-ST JACQUES;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;10.400000000000034;8.600000000000023;;12.800000000000011;;8.800000000000011;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-30T22:00:00+01:00;99950;100.0;3;70;1.5;278.35;277.65;95;5740.0;0;;;100.0;8;450.0;;;;99500.0;;;-210.0;;;;;280.45;;;2.0;3.4;-10.0;0;0.0;;;0.0;0.0;0.0;1.8;1.8;;;;;8.0;;510.0;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;5.2000000000000455;;;;;7.300000000000011;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-12T22:00:00+01:00;101030;20.0;0;190;4.8;286.15;284.85;92;9650.0;0;;;100.0;5;450.0;;;;100590.0;;;780.0;;;;;284.75;;;9.3;9.3;-10.0;2;0.0;;;-0.1;0.4;0.4;0.6;3.3;;;;;2.0;;300.0;5.0;;1380.0;5.0;;1800.0;;;;48.068833, -1.734;RENNES-ST JACQUES;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;13.0;;;;;11.600000000000023;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-13T04:00:00+01:00;100740;-180.0;6;210;6.6;288.75;287.15;90;14090.0;0;;;100.0;8;450.0;;;;100300.0;;;650.0;;;;;285.35;;;10.7;12.8;-10.0;2;0.0;;;0.0;-0.1;-0.1;0.4;0.6;;;;;7.0;;420.0;8.0;;690.0;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.600000000000023;;;;;12.200000000000045;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
07130;2023-11-12T16:00:00+01:00;100750;-30.0;5;240;6.1;288.75;286.45;86;12800.0;0;;;90.0;7;450.0;;;;100310.0;;;-200.0;;;;;283.85;;;10.1;10.5;-10.0;1;;;;-0.1;-0.1;0.2;0.2;7.1;;;;;6.0;;570.0;7.0;;840.0;7.0;;1080.0;;;;48.068833, -1.734;RENNES-ST JACQUES;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.600000000000023;;;;;10.700000000000045;48.068833;-1.734;36;Saint-Jacques-de-la-Lande;35281;Rennes Métropole;243500139;Ille-et-Vilaine;35;Bretagne;53;11
