annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2023;Septembre;2023-09-27;Mercredi;40;61;61;Métropolitaine;Régulières Métropolitaines;1885.88235
2023;Décembre;2023-12-12;Mardi;51;56;56;Métropolitaine;Régulières Métropolitaines;1176.47059
2023;Septembre;2023-09-09;Samedi;37;74;74;Métropolitaine;Régulières Métropolitaines;528.23529
2024;Janvier;2024-01-08;Lundi;2;55;55;Métropolitaine;Régulières Métropolitaines;2530.58824
2023;Septembre;2023-09-21;Jeudi;39;9999;9999;Non identifié;Non identifiée;6590.58824
2023;Septembre;2023-09-27;Mercredi;40;77;77;Métropolitaine;Régulières Métropolitaines;1975.29412
2023;Décembre;2023-12-12;Mardi;51;65;65;Métropolitaine;Régulières Métropolitaines;1124.70588
2023;Septembre;2023-09-09;Samedi;37;125;N5;STAR de Nuit;Régulières Urbaines;29.41176
2024;Janvier;2024-01-08;Lundi;2;56;56;Métropolitaine;Régulières Métropolitaines;945.88235
2023;Septembre;2023-09-22;Vendredi;39;1;C1;CHRONOSTAR;CHRONOSTAR;14255.29412
2023;Septembre;2023-09-27;Mercredi;40;154;154ex;Express;Régulières Métropolitaines;384.70588
2023;Décembre;2023-12-12;Mardi;51;68;68;Métropolitaine;Régulières Métropolitaines;1221.17647
2023;Septembre;2023-09-10;Dimanche;37;1;C1;CHRONOSTAR;CHRONOSTAR;2700.0
2024;Janvier;2024-01-08;Lundi;2;61;61;Métropolitaine;Régulières Métropolitaines;1674.11765
2023;Septembre;2023-09-22;Vendredi;39;2;C2;CHRONOSTAR;CHRONOSTAR;14545.88235
2023;Septembre;2023-09-27;Mercredi;40;155;155ex;Express;Régulières Métropolitaines;334.11765
2023;Décembre;2023-12-12;Mardi;51;70;70;Métropolitaine;Régulières Métropolitaines;154.11765
2023;Septembre;2023-09-10;Dimanche;37;12;12;Urbaine;Régulières Urbaines;636.47059
2024;Janvier;2024-01-08;Lundi;2;65;65;Métropolitaine;Régulières Métropolitaines;1016.47059
2023;Septembre;2023-09-22;Vendredi;39;5;C5;CHRONOSTAR;CHRONOSTAR;13082.35294
2023;Septembre;2023-09-27;Mercredi;40;161;161ex;Express;Régulières Métropolitaines;551.76471
2023;Décembre;2023-12-12;Mardi;51;76;76;Métropolitaine;Régulières Métropolitaines;987.05882
2023;Septembre;2023-09-10;Dimanche;37;14;14;Urbaine;Régulières Urbaines;314.11765
2024;Janvier;2024-01-08;Lundi;2;91;91;Intercommunale;Régulières Métropolitaines;611.76471
2023;Septembre;2023-09-22;Vendredi;39;12;12;Urbaine;Régulières Urbaines;5705.88235
2023;Septembre;2023-09-27;Mercredi;40;172;172ex;Express;Régulières Métropolitaines;196.47059
2023;Décembre;2023-12-12;Mardi;51;80;80;Métropolitaine;Régulières Métropolitaines;630.58824
2023;Septembre;2023-09-10;Dimanche;37;50;50;Métropolitaine;Régulières Métropolitaines;152.94118
2024;Janvier;2024-01-08;Lundi;2;153;153ex;Express;Régulières Métropolitaines;424.70588
2023;Septembre;2023-09-22;Vendredi;39;32;32;Inter-quartiers;Régulières Urbaines;1094.11765
2023;Septembre;2023-09-27;Mercredi;40;804;TTZ;Spéciale;Régulières Métropolitaines;27.05882
2023;Décembre;2023-12-12;Mardi;51;153;153ex;Express;Régulières Métropolitaines;468.23529
2023;Septembre;2023-09-10;Dimanche;37;55;55;Métropolitaine;Régulières Métropolitaines;475.29412
2024;Janvier;2024-01-08;Lundi;2;155;155ex;Express;Régulières Métropolitaines;374.11765
2023;Septembre;2023-09-22;Vendredi;39;34;34;Inter-quartiers;Régulières Urbaines;924.70588
2023;Septembre;2023-09-27;Mercredi;40;1001;a;Métro;METRO;151246.27496
2023;Décembre;2023-12-12;Mardi;51;168;168ex;Express;Régulières Métropolitaines;116.47059
2023;Septembre;2023-09-10;Dimanche;37;71;71;Métropolitaine;Régulières Métropolitaines;124.70588
2024;Janvier;2024-01-08;Lundi;2;165;165ex;Express;Régulières Métropolitaines;17.64706
2023;Septembre;2023-09-22;Vendredi;39;50;50;Métropolitaine;Régulières Métropolitaines;1431.76471
2023;Septembre;2023-09-27;Mercredi;40;1002;b;Métro;METRO;101978.30095
2023;Décembre;2023-12-12;Mardi;51;175;175ex;Express;Régulières Métropolitaines;60.0
2023;Septembre;2023-09-11;Lundi;38;13;13;Urbaine;Régulières Urbaines;5917.64706
2024;Janvier;2024-01-08;Lundi;2;802;b relais;Spéciale;METRO;16280.0
2023;Septembre;2023-09-22;Vendredi;39;54;54;Métropolitaine;Régulières Métropolitaines;2856.47059
2023;Septembre;2023-09-28;Jeudi;40;4;C4;CHRONOSTAR;CHRONOSTAR;23244.70588
2023;Décembre;2023-12-12;Mardi;51;9999;9999;Non identifié;Non identifiée;6962.35294
2023;Septembre;2023-09-11;Lundi;38;14;14;Urbaine;Régulières Urbaines;7300.0
2024;Janvier;2024-01-08;Lundi;2;804;TTZ;Spéciale;Régulières Métropolitaines;28.23529
2023;Septembre;2023-09-22;Vendredi;39;56;56;Métropolitaine;Régulières Métropolitaines;1081.17647
2023;Septembre;2023-09-28;Jeudi;40;10;10;Urbaine;Régulières Urbaines;3752.94118
2023;Décembre;2023-12-13;Mercredi;51;1;C1;CHRONOSTAR;CHRONOSTAR;19642.35294
2023;Septembre;2023-09-11;Lundi;38;39;39;Inter-quartiers;Régulières Urbaines;36.47059
2024;Janvier;2024-01-08;Lundi;2;1001;a;Métro;METRO;132156.12236
2023;Septembre;2023-09-22;Vendredi;39;64;64;Métropolitaine;Régulières Métropolitaines;1571.76471
2023;Septembre;2023-09-28;Jeudi;40;32;32;Inter-quartiers;Régulières Urbaines;1201.17647
2023;Décembre;2023-12-13;Mercredi;51;3;C3;CHRONOSTAR;CHRONOSTAR;13510.58824
2023;Septembre;2023-09-11;Lundi;38;47;C7ex;CHRONOSTAR;CHRONOSTAR;1175.29412
2024;Janvier;2024-01-09;Mardi;2;6;C6;CHRONOSTAR;CHRONOSTAR;14710.58824
2023;Septembre;2023-09-22;Vendredi;39;67;67;Métropolitaine;Régulières Métropolitaines;1735.29412
2023;Septembre;2023-09-28;Jeudi;40;55;55;Métropolitaine;Régulières Métropolitaines;2774.11765
2023;Décembre;2023-12-13;Mercredi;51;5;C5;CHRONOSTAR;CHRONOSTAR;17143.52941
2023;Septembre;2023-09-11;Lundi;38;53;53;Métropolitaine;Régulières Métropolitaines;2734.11765
2024;Janvier;2024-01-09;Mardi;2;14;14;Urbaine;Régulières Urbaines;8587.05882
2023;Septembre;2023-09-22;Vendredi;39;74;74;Métropolitaine;Régulières Métropolitaines;1481.17647
2023;Septembre;2023-09-28;Jeudi;40;65;65;Métropolitaine;Régulières Métropolitaines;1129.41176
2023;Décembre;2023-12-13;Mercredi;51;6;C6;CHRONOSTAR;CHRONOSTAR;16549.41176
2023;Septembre;2023-09-11;Lundi;38;68;68;Métropolitaine;Régulières Métropolitaines;1300.0
2024;Janvier;2024-01-09;Mardi;2;61;61;Métropolitaine;Régulières Métropolitaines;1736.47059
2023;Septembre;2023-09-22;Vendredi;39;81;81;Métropolitaine;Régulières Métropolitaines;801.17647
2023;Septembre;2023-09-28;Jeudi;40;74;74;Métropolitaine;Régulières Métropolitaines;1424.70588
2023;Décembre;2023-12-13;Mercredi;51;12;12;Urbaine;Régulières Urbaines;1105.88235
2023;Septembre;2023-09-11;Lundi;38;70;70;Métropolitaine;Régulières Métropolitaines;212.94118
2024;Janvier;2024-01-09;Mardi;2;67;67;Métropolitaine;Régulières Métropolitaines;2112.94118
