annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2023;Septembre;2023-09-18;Lundi;39;14;14;Urbaine;Régulières Urbaines;7900.0
2023;Septembre;2023-09-22;Vendredi;39;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;3670.58824
2023;Décembre;2023-12-07;Jeudi;50;65;65;Métropolitaine;Régulières Métropolitaines;1044.70588
2023;Septembre;2023-09-05;Mardi;37;77;77;Métropolitaine;Régulières Métropolitaines;2190.58824
2023;Décembre;2023-12-31;Dimanche;53;54;54;Métropolitaine;Régulières Métropolitaines;649.41176
2023;Septembre;2023-09-18;Lundi;39;32;32;Inter-quartiers;Régulières Urbaines;1124.70588
2023;Septembre;2023-09-23;Samedi;39;51;51;Métropolitaine;Régulières Métropolitaines;742.35294
2023;Décembre;2023-12-07;Jeudi;50;82;82;Métropolitaine;Régulières Métropolitaines;375.29412
2023;Septembre;2023-09-05;Mardi;37;78;78;Métropolitaine;Régulières Métropolitaines;1216.47059
2023;Décembre;2023-12-31;Dimanche;53;71;71;Métropolitaine;Régulières Métropolitaines;187.05882
2023;Septembre;2023-09-18;Lundi;39;37;37;Inter-quartiers;Régulières Urbaines;184.70588
2023;Septembre;2023-09-23;Samedi;39;73;73;Métropolitaine;Régulières Métropolitaines;469.41176
2023;Décembre;2023-12-07;Jeudi;50;91;91;Intercommunale;Régulières Métropolitaines;601.17647
2023;Septembre;2023-09-05;Mardi;37;90;90;Intercommunale;Régulières Métropolitaines;55.29412
2024;Janvier;2024-01-01;Lundi;1;3;C3;CHRONOSTAR;CHRONOSTAR;956.47059
2023;Septembre;2023-09-18;Lundi;39;52;52;Métropolitaine;Régulières Métropolitaines;3140.0
2023;Septembre;2023-09-23;Samedi;39;74;74;Métropolitaine;Régulières Métropolitaines;636.47059
2023;Décembre;2023-12-07;Jeudi;50;155;155ex;Express;Régulières Métropolitaines;310.58824
2023;Septembre;2023-09-05;Mardi;37;91;91;Intercommunale;Régulières Métropolitaines;711.76471
2024;Janvier;2024-01-01;Lundi;1;4;C4;CHRONOSTAR;CHRONOSTAR;2727.05882
2023;Septembre;2023-09-18;Lundi;39;53;53;Métropolitaine;Régulières Métropolitaines;2822.35294
2023;Septembre;2023-09-23;Samedi;39;76;76;Métropolitaine;Régulières Métropolitaines;304.70588
2023;Décembre;2023-12-07;Jeudi;50;156;156ex;Express;Régulières Métropolitaines;164.70588
